Edge,From,To,Relationship,Score
1348,OSM,LIF,Interaction,837
1355,USP18,HERC5,Interaction,905
1357,IL2RB,SOCS2,Interaction,911
1358,USP18,HERC6,Interaction,864
1360,RHOV,STARD13,Interaction,929
1365,NGFR,BEX1,Interaction,976
1372,NTN1,UNC5C,Interaction,995
1373,RHOXF1,UNC5C,Interaction,721
1383,DRD4,ANKK1,Interaction,738
1387,DRD4,HCN2,Interaction,765
1392,TBX21,TSLP,Interaction,722
1393,IL2RB,TSLP,Interaction,731
1403,TBX21,KLRG1,Interaction,721
1404,IL2RB,KLRG1,Interaction,701
1405,GZMB,KLRG1,Interaction,713
1413,GZMB,GNLY,Interaction,938
1417,TBX21,IL12RB2,Interaction,767
1421,SLC10A1,CYP7A1,Interaction,838
1424,TFPI2,F3,Interaction,755
1426,CEBPE,MYB,Interaction,721
1437,HGF,MMRN1,Interaction,903
1441,SMPD3,ENPP7,Interaction,919
1448,USP18,EIF2AK2,Interaction,965
1449,CEACAM6,PIGR,Interaction,911
1454,ADAM11,LGI4,Interaction,959
1457,SLC10A1,SLCO1A2,Interaction,836
1469,RHOV,ARHGEF10,Interaction,910
1471,USP18,IFI27,Interaction,757
1472,KCND1,KCNIP1,Interaction,995
1473,CYP24A1,NBL1,Interaction,700
1476,OSM,LIFR,Interaction,982
1480,IL2RB,IL5RA,Interaction,933
1482,OSM,PRLR,Interaction,743
1486,DLL3,MESP2,Interaction,718
1490,SMPD3,CERS3,Interaction,854
1492,GCK,AKR1B10,Interaction,827
1493,USP18,RTP4,Interaction,825
1495,GCK,GCKR,Interaction,995
1496,NEFM,NEFL,Interaction,968
1516,HGF,PROS1,Interaction,904
1518,USP18,OAS1,Interaction,867
1520,USP18,OAS3,Interaction,872
1521,USP18,IFI44,Interaction,876
1522,USP18,RSAD2,Interaction,962
1523,USP18,OAS2,Interaction,888
1524,USP18,IFI6,Interaction,809
1527,USP18,IFIT2,Interaction,788
1528,USP18,XAF1,Interaction,759
1529,USP18,IFI35,Interaction,740
1531,USP18,USP41,Interaction,709
1532,USP18,IFI44L,Interaction,876
1533,USP18,IFIT1,Interaction,995
1544,CRYBB1,CRYAB,Interaction,852
1546,CRYBB1,MIP,Interaction,701
1553,ACR,ENTPD3,Interaction,757
1567,CHN2,PTGDS,Interaction,703
1575,CYP24A1,CYP27B1,Interaction,925
1576,CYP24A1,CA5A,Interaction,798
1577,RHOV,CHN1,Interaction,910
1582,EEF1A2,PAPSS2,Interaction,782
1594,RHOV,ARHGEF4,Interaction,942
1596,RHOV,ARHGAP31,Interaction,901
1597,RHOV,ARHGAP39,Interaction,923
1598,RHOV,ARHGAP20,Interaction,910
1599,RHOV,ARHGEF15,Interaction,925
1601,NEFM,ARHGEF28,Interaction,758
1603,SFRP1,DKK2,Interaction,701
1604,DKK4,DKK2,Interaction,911
1605,SFRP1,DKK3,Interaction,830
1607,APLP1,APBA1,Interaction,787
